"Address","City","State","Zip","Longitude","Latitude"
"4385 Sinton Rd","Colorado Springs",CO,"80907",-104.8297,38.8957
"3500 Park Ave West","Denver",CO,"80216",-104.9942,39.7663
"1975 South Colorado Blvd","Denver",CO,"80222",-104.9410,39.6803
"4460 Peoria Street","Denver",CO,"80239",-104.8459,39.7769
"6801 Tower Rd","Denver",CO,"80249",-104.7722,39.8202
"3709 East Mulberry St","Fort Collins",CO,"80524",-105.0084,40.5809
"570 Raptor Rd","Fruita",CO,"81521",-108.7395,39.1533
"3301 Youngfield Service Rd","Golden",CO,"80401",-105.1448,39.7637
"2761 Crossroads Blvd","Grand Junction",CO,"81506",-108.5411,39.1145
"7077 South Clinton St","Greenwood Village",CO,"80112",-104.8788,39.5883
"9009 East Arapahoe Rd","Greenwood Village",CO,"80112",-104.8845,39.5960
"9041 Brighton Road","Henderson ",CO,"80640",-104.9106,39.8611
"7190 West Hampden Ave","Lakewood",CO,"80227",-105.0762,39.6524
"902 West Dillon Rd","Louisville",CO,"80027",-105.1621,39.9589
"1450 Cascade Ave","Loveland",CO,"80538",-105.1304,40.4080
"4801 North Elizabeth St","Pueblo",CO,"81008",-104.6164,38.3241
"600 Wapiti Ct","Rifle",CO,"81650",-107.7736,39.5240
"560 Silverthorne Ln","Silverthorne",CO,"80498",-106.0656,39.6305
"3155 Ingles Ln","Steamboat Springs",CO,"80487",-106.8149,40.4484
"2833 Toupal Dr","Trinidad",CO,"81082",-104.5212,37.1405
"10179 Church Ranch Way","Westminster",CO,"80021",-105.0747,39.8814
"8701 Turnpike Dr","Westminster",CO,"80030",-105.0518,39.8530
"345 West 120th Ave","Westminster",CO,"80234",-104.9913,39.9147
"116 Newtown Rd","Danbury",CT,"06810",-73.4070,41.4160
"65 Columbus Blvd","New Britain",CT,"06051",-72.7794,41.6675
"400 Sargent Dr","New Haven",CT,"06511",-72.9200,41.2940
"349 Liberty St","Pawcatuck",CT,"06379",-71.8448,41.3976
"135 Harvard Ave","Stamford",CT,"06902",-73.5622,41.0437
"64 Ella Grasso Turnpike","Windsor Locks",CT,"06096",-72.6728,41.9195
"28600 Trails Edge Blvd","Bonita Springs",FL,"34134",-81.8068,26.3202
"310 Grand Regency Blvd","Brandon",FL,"33510",-82.3271,27.9438
"5000 Lake Blvd","Clearwater",FL,"33760",-82.7024,27.8667
"3301 Ulmerton Rd","Clearwater",FL,"33762",-82.6785,27.8947
"21338 US Hwy 19 North","Clearwater",FL,"33765",-82.7312,27.9663
"1 Hendry Ave","Cocoa Beach",FL,"32931",-80.6031,28.3687
"1275 North Atlantic Ave","Cocoa Beach",FL,"32931",-80.6108,28.3336
"3100 North University Dr","Coral Springs",FL,"33065",-80.2507,26.2684
"3701 University Dr","Coral Springs",FL,"33065",-80.2498,26.2744
"10821 Caribbean Blvd","Cutler Bay",FL,"33189",-80.3662,25.5794
"2725 W International Speedway Blvd","Daytona Beach",FL,"32114",-81.0820,29.1733
"816 North Atlantic Ave","Daytona Beach",FL,"32118",-81.0140,29.2393
"351 West Hillsboro Blvd","Deerfield Beach",FL,"33441",-80.1095,26.3196
"100 Southwest 12th Ave","Deerfield Beach",FL,"33442",-80.1192,26.3166
"5727 North Federal Hwy","Fort Lauderdale",FL,"33308",-80.1110,26.1982
"3800 West Commercial Blvd","Fort Lauderdale",FL,"33309",-80.2000,26.1862
"999 West Cypress Creek Rd","Fort Lauderdale",FL,"33309",-80.1574,26.2034
"5070 North State Rd 7","Fort Lauderdale",FL,"33319",-80.2029,26.1882
"4850 South Cleveland Ave","Fort Myers",FL,"33907",-81.8722,26.5900
"20091 Summerlin Rd","Fort Myers",FL,"33908",-81.9687,26.4933
"9521 Market Pl Rd","Fort Myers",FL,"33912",-81.7974,26.5493
"2655 Crossroads Pkwy","Fort Pierce",FL,"34945",-80.3965,27.4174
"3 Miracle Strip Pkwy SW","Fort Walton Beach",FL,"32548",-86.6136,30.4042
"920 Northwest 69th Terrace","Gainesville",FL,"32605",-82.4167,29.6617
"2620 North 26th Ave","Hollywood",FL,"33020",-80.1604,26.0364
"4686 Lenoir Ave South","Jacksonville",FL,"32216",-81.5978,30.2482
"8555 Blanding Blvd","Jacksonville",FL,"32244",-81.7377,30.1945
"8255 Dix Ellis Trail","Jacksonville",FL,"32256",-81.5725,30.2193
"3199 Hartley Rd","Jacksonville",FL,"32257",-81.6281,30.1838
"34 Fishermans Way","Jupiter",FL,"33477",-80.0864,26.9349
