"Address","City","State","Zip","Longitude","Latitude"
"5720 S Frontage Rd","Billings",MT,"59101",-108.5605,45.7471
"620 Nikles Dr","Bozeman",MT,"59715",-111.0456,45.6986
"1 Holiday Park Drive","Butte",MT,"59701",-112.5026,45.9838
"1717 N Merrill Avenue","Glendive",MT,"59330",-104.6967,47.1224
"600 River Dr South","Great Falls",MT,"59405",-111.3070,47.4990
"701 Washington Street","Helena",MT,"59601",-112.0033,46.5916
"255 Montclair Dr","Kalispell",MT,"59901",-114.2928,48.2097
"5059 North Reserve St","Missoula",MT,"59808",-114.0348,46.9117
"165 Hwy 105 Extension","Boone",NC,"28607",-81.6688,36.2155
"191 Crescent Commons","Cary",NC,"27518",-78.7841,35.7358
"3127 Sloan Dr","Charlotte",NC,"28208",-80.9209,35.2409
"4900 South Tryon St","Charlotte",NC,"28217",-80.8912,35.1790
"1607 Fairgrove Church Rd","Conover",NC,"28613",-81.2618,35.7003
"4414 Durham Chapel Hill Blvd","Durham",NC,"27707",-78.9722,35.9646
"1910 Westpark Dr","Durham",NC,"27713",-78.8914,35.9080
"1201 Lanada Rd","Greensboro",NC,"27407",-79.8935,36.0537
"1001 Aerial Center Pkwy","Morrisville",NC,"27560",-78.8166,35.8586
"1001 Hospitality Ct","Morrisville",NC,"27560",-78.8170,35.8599
"2211 Summit Park Ln","Raleigh",NC,"27612",-78.6761,35.8336
"2020 Griffith Rd","Winston-Salem",NC,"27103",-80.3102,36.0621
"2240 North 12th Street","Bismarck",ND,"58501",-100.7736,46.8296
"552 12th Street West","Dickinson",ND,"58601",-102.7932,46.8950
"2355 46th St South","Fargo",ND,"58104",-96.8640,46.8426
"4051 Garden View Drive","Grand Forks",ND,"58201",-97.0863,47.9129
"1605 35th Avenue S W","Minot",ND,"58701",-101.3195,48.1989
"4433 North 27th St","Lincoln",NE,"68521",-96.6834,40.8550
"2600 Eagles Wings Pl","North Platte",NE,"69101",-100.7267,41.1085
"10760 M St","Omaha",NE,"68127",-96.0800,41.2117
"3330 North 104th Ave","Omaha",NE,"68134",-96.0754,41.2895
"21 Front Street","Manchester",NH,"03102",-71.4727,43.0037
"8 Keewaydin Dr","Salem",NH,"03079",-71.2459,42.7744
"265 Rte 3 East","Clifton",NJ,"07014",-74.1342,40.8274
"38 Two Bridges Rd","Fairfield",NJ,"07004",-74.2733,40.8929
"5000 Clover Road","Mount Laurel",NJ,"08054",-74.9564,39.9265
"393 Rt 17 South","Paramus",NJ,"07652",-74.0724,40.9473
"109 9th Avenue","Runnemede",NJ,"08078",-75.0715,39.8580
"350 Lighting Way","Secaucus",NJ,"07094",-74.0494,40.7902
"60 Cottontail Ln","Somerset",NJ,"08873",-74.5453,40.5521
"1850 State Route 23","Wayne",NJ,"07470",-74.2730,40.9472
"109 Route 36","West Long Branch",NJ,"07764",-74.0198,40.3012
"2116 Yale Blvd Southeast","Albuquerque",NM,"87106",-106.6217,35.0582
"2011 Menaul Blvd Northeast","Albuquerque",NM,"87107",-106.6219,35.1107
"5241 San Antonio Dr Northeast","Albuquerque",NM,"87109",-106.5852,35.1603
"7439 Pan American Fwy Northeast","Albuquerque",NM,"87109",-106.5888,35.1609
"6101 Iliff Rd Northwest","Albuquerque",NM,"87121",-106.7084,35.1035
"2207 West Main Street","Artesia",NM,"88210",-104.4238,32.8417
"4020 National Parks Highway","Carlsbad",NM,"88220",-104.2313,32.3729
"4521 North Prince St","Clovis",NM,"88101",-103.1963,34.4440
"4300 East Pine St","Deming",NM,"88030",-107.7133,32.2716
"675 Scott Ave","Farmington",NM,"87401",-108.1915,36.7299
"3880 East Hwy 66","Gallup",NM,"87301",-108.6656,35.5314
"3312 North Lovington Hwy","Hobbs",NM,"88240",-103.1575,32.7368
"1500 Hickory Dr","Las Cruces",NM,"88005",-106.7873,32.2906
"790 Avenida de Mesilla","Las Cruces",NM,"88005",-106.7882,32.2923
"200 East 19th St","Roswell",NM,"88201",-104.5199,33.4158
"26147 US Highway 70","Ruidoso Downs",NM,"88346",-105.6225,33.3255
"4298 Cerrillos Rd","Santa Fe",NM,"87507",-106.0192,35.6351
"2277 Historic Rte 66","Santa Rosa",NM,"88435",-104.6683,34.9455
"2516 South Adams St","Tucumcari",NM,"88401",-103.7231,35.1546
"1591 Great Basin Blvd","Ely",NV,"89301",-114.8707,39.2466
"4288 North Nellis Blvd","Las Vegas",NV,"89115",-115.0619,36.2380
"9570 W Sahara Ave","Las Vegas",NV,"89117",-115.3032,36.1457
"4975 S Valley View Blvd","Las Vegas",NV,"89118",-115.1903,36.1005
"6560 Surrey St","Las Vegas",NV,"89119",-115.1237,36.0705
"7101 Cascade Valley Ct","Las Vegas",NV,"89128",-115.2477,36.2115
"3970 Paradise Rd","Las Vegas",NV,"89169",-115.1547,36.1168
"4001 Market St","Reno",NV,"89502",-119.7824,39.5095
"94 Business Park Dr","Armonk",NY,"10504",-73.7073,41.1210
"8200 Park Road","Batavia",NY,"14020",-78.1931,43.0173
"10 Aero Rd","Bohemia",NY,"11716",-73.0955,40.7797
"533 3rd Ave","Brooklyn",NY,"11215",-73.9930,40.6690
"540 Saw Mill River Rd","Elmsford",NY,"10523",-73.8174,41.0735
"821 Stewart Ave","Garden City",NY,"11530",-73.6035,40.7339
"581 Harry L Dr","Johnson City",NY,"13790",-75.9709,42.1247
"833 New Loudon Rd","Latham",NY,"12110",-73.7597,42.7511
"37-18 Queens Blvd","Long Island City",NY,"11101",-73.9282,40.7440
"17 West 32nd St","New York",NY,"10001",-73.9866,40.7477
"111-26 Van Wyck Expwy","Ozone Park",NY,"11420",-73.8068,40.6841
"16 Plaza Blvd","Plattsburgh",NY,"12901",-73.4965,44.6976
"1956 Lyell Ave","Rochester",NY,"14606",-77.6794,43.1649
"717 East Henrietta Rd","Rochester",NY,"14623",-77.6163,43.1069
"5394 Willow Place","Verona",NY,"13478",-75.5925,43.1223
"6619 Transit Rd","Williamsville",NY,"14221",-78.6966,42.9479
"5335 Broadmoor Circle Northwest","Canton",OH,"44709",-81.4178,40.8578
"11029 Dowlin Dr","Cincinnati",OH,"45241",-84.4389,39.2720
"4222 West 150 St","Cleveland",OH,"44135",-81.8044,41.4400
"5510 Trabue Rd","Columbus",OH,"43228",-83.1463,39.9806
"6145 Parkcenter Cir ","Dublin",OH,"43017",-83.1332,40.0774
"3962 Jackpot Rd","Grove City",OH,"43123",-83.0454,39.8811
"6161 Quarry Ln","Independence",OH,"44131",-81.6492,41.3941
"268 East Highland Rd","Macedonia",OH,"44056",-81.5171,41.2990
"120 Stander Ave","Mansfield",OH,"44903",-82.5105,40.6943
"9918 Escort Dr","Mason",OH,"45040",-84.3172,39.2941
"25105 Country Club Blvd","North Olmsted",OH,"44070",-81.9052,41.4140
"1154 Professional Dr","Perrysburg",OH,"43551",-83.6064,41.5494
"950 East Ash St","Piqua",OH,"45356",-84.2259,40.1514
"2447 Brice Rd","Reynoldsburg",OH,"43068",-82.8318,39.9363
"3304 Milan Rd","Sandusky",OH,"44870",-82.6828,41.4272
"12150 Springfield Pike","Springdale",OH,"45246",-84.4848,39.3003
"19 Weller Dr","Tipp City",OH,"45371",-84.1918,39.9626
"2828 East Arlington Street","Ada",OK,"74820",-96.6365,34.7818
"1502 Woerz Way","Ardmore",OK,"73401",-97.1634,34.1898
"1410A Southeast Washington Blvd","Bartlesville",OK,"74006",-95.9351,36.7328
"2009 S Cherokee St","Catoosa",OK,"74015",-95.7602,36.1678
"774 S Lynn Riggs Blvd","Claremore",OK,"74017",-95.6231,36.3029
"2715 Chapman Road","Clinton",OK,"73601",-98.9927,35.4942
"417 Criswell Drive","Durant",OK,"74701",-96.4057,34.0016
"200 Meline Dr","Edmond",OK,"73034",-97.4283,35.6518
"2611 E Hwy 66","Elk City",OK,"73644",-99.3740,35.4223
"1408 North West 40th ST","Lawton",OK,"73505",-98.4434,34.6248
"1137 S George Nigh Expressway","McAlester",OK,"74501",-95.7555,34.8994
"5653 Tinker Diagonal","Midwest City",OK,"73110",-97.4224,35.4461
"2140 Riverwalk Dr","Moore",OK,"73160",-97.4932,35.3191
"1701 North 32nd Street","Muskogee",OK,"74401",-95.4030,35.7662
"930 Ed Noble Pkwy","Norman",OK,"73072",-97.4828,35.2072
"800 South Meridian Ave","Oklahoma City",OK,"73108",-97.6009,35.4584
"4829 Northwest Expressway","Oklahoma City",OK,"73132",-97.6090,35.5454
"3003 West Memorial Rd","Oklahoma City",OK,"73134",-97.5701,35.6107
"5401 Enterprise Ct","Shawnee",OK,"74804",-96.9103,35.3852
"5285 West 6th Ave","Stillwater",OK,"74074",-97.1308,36.1146
"23 North 67th East Ave","Tulsa",OK,"74115",-95.9014,36.1617
"6030 East Skelly Dr","Tulsa",OK,"74135",-95.9100,36.1032
"3410 Williams Ave","Woodward",OK,"73801",-99.3761,36.4111
"11500 West - I 40 Service Rd","Yukon",OK,"73099",-97.7261,35.4670
"251 Airport Rd Southeast","Albany",OR,"97321",-123.0656,44.6415
"434 S Valley View Rd","Ashland",OR,"97520",-122.7398,42.2258
"61200 South Hwy 97","Bend",OR,"97702",-121.3156,44.0218
"155 Day  Island Rd","Eugene",OR,"97401",-123.0807,44.0583
"243 Northeast Morgan Ln","Grants Pass",OR,"97526",-123.3194,42.4619
"45 Southeast 32nd St","Newport",OR,"97365",-124.0493,44.6150
"4319 NW Yeon Ave","Portland",OR,"97210",-122.7302,45.5535
"11207 Northeast Holman St","Portland",OR,"97220",-122.5469,45.5684
"890 Hawthorne Ave Southeast","Salem",OR,"97301",-122.9962,44.9206
"8815 Southwest Sun Pl","Wilsonville",OR,"97070",-122.7676,45.3363
"120 Arney Road NE","Woodburn",OR,"97071",-122.8825,45.1522
"199 Walker Rd","Chambersburg",PA,"17201",-77.6334,39.9326
"7820 Perry Hwy","Erie",PA,"16509",-80.0410,42.0708
"990 Eisenhower Blvd","Harrisburg",PA,"17111",-76.8047,40.2388
"265 N Hershey Road","Harrisburg",PA,"17112",-76.7137,40.3519
"8507 University Blvd","Moon Township",PA,"15108",-80.2226,40.5079
"4859 McKnight Road","Pittsburgh",PA,"15237",-80.0099,40.5280
"25 Eastbrook Road","Ronks",PA,"17572",-76.1931,40.0238
"4 Universal Blvd","Coventry",RI,"02816",-71.5500,41.6629
"36 Jefferson Blvd","Warwick",RI,"02888",-71.4351,41.7523
"11 Ashley Pointe Dr","Charleston",SC,"29407",-79.9625,32.7767
"2499 La Quinta Ln","Charleston",SC,"29420",-80.0489,32.9352
"7333 Garners Ferry Rd","Columbia",SC,"29209",-80.9501,33.9700
"1538 Horseshoe Dr","Columbia",SC,"29223",-80.9468,34.0761
"2123 West Lucas Street","Florence",SC,"29501",-79.8048,34.2346
"31 Old Country Rd","Greenville",SC,"29607",-82.3019,34.8314
"65 West Orchard Park Dr","Greenville",SC,"29615",-82.3378,34.8579
"1561 21st Ave North","Myrtle Beach",SC,"29577",-78.8889,33.7147
"4709 North Kings Hwy","Myrtle Beach",SC,"29577",-78.8485,33.7231
"1601B Hwy 17 North","North Myrtle Beach",SC,"29582",-78.6587,33.8446
"1416 North Elk Vale Rd","Rapid City",SD,"57701",-103.1489,44.0996
"4521 W 41st Street","Sioux Falls",SD,"57106",-96.7821,43.5145
"126 Cusick Rd","Alcoa",TN,"37701",-83.9823,35.8117
"100 West 21st St","Chattanooga",TN,"37408",-85.3116,35.0317
"311 Browns Ferry Rd ","Chattanooga",TN,"37419",-85.3627,35.0301
"7017 Shallowford Rd","Chattanooga",TN,"37421",-85.1581,35.0445
"251 Holiday Drive","Clarksville",TN,"37040",-87.2807,36.5956
"1131 South Jefferson Ave","Cookeville",TN,"38501",-85.5047,36.1331
"4207 Franklin Commons Ct","Franklin",TN,"37067",-86.8233,35.9115
"120 South Cartwright Court","Goodlettsville",TN,"37072",-86.7059,36.3224
"2370 N Highland Ave","Jackson",TN,"38305",-88.8282,35.6688
"10150 Airport Pkwy","Kingsport",TN,"37663",-82.4312,36.5052
"1317 Kirby Road","Knoxville",TN,"37909",-83.9999,35.9457
"7210 Saddle Rack St","Knoxville",TN,"37914",-83.7746,35.9992
"140 Dixie Avenue","Lebanon",TN,"37090",-86.3018,36.1813
"2979 Millbranch Rd","Memphis",TN,"38116",-90.0069,35.0676
"1236 Primacy Pkwy","Memphis",TN,"38119",-89.8623,35.0980
"2839 New Brunswick Rd","Memphis",TN,"38133",-89.7815,35.2008
"6069 Macon Cove","Memphis",TN,"38134",-89.8616,35.1628
"4311 Sidco Dr","Nashville",TN,"37204",-86.7620,36.0840
"2345 Atrium Way","Nashville",TN,"37214",-86.6912,36.1555
"531 Donelson Pike","Nashville",TN,"37214",-86.6663,36.1466
"219 Emert St","Pigeon Forge",TN,"37863",-83.5529,35.7824
"2510 Parkway","Pigeon Forge",TN,"37863",-83.5798,35.8065
"2428 Winfield Dunn Pkwy","Sevierville",TN,"37764",-83.5831,35.9353
"2537 Highwood Blvd","Smyrna",TN,"37167",-86.5681,35.9693
"3501 West Lake Rd","Abilene",TX,"79601",-99.7227,32.4914
"3018 CatClaw Dr","Abilene",TX,"79606",-99.7788,32.4135
"909 East Frontage Rd","Alamo",TX,"78516",-98.1193,26.1900
"2400 East Main St","Alice",TX,"78332",-98.0435,27.7643
"1220 North Central Expressway","Allen",TX,"75013",-96.6674,33.1167
"1165 Hwy 67W","Alvarado",TX,"76009",-97.2238,32.4149
"880 South Loop 35","Alvin",TX,"77511",-95.2301,29.4175
"1708 I-40 East","Amarillo",TX,"79103",-101.8188,35.1920
"2108 S Coulter St","Amarillo",TX,"79106",-101.9219,35.1891
"2400 West Mulberry St","Angleton",TX,"77515",-95.4580,29.1629
"825 North  Watson Rd","Arlington",TX,"76011",-97.0657,32.7550
"4001 Scots Legacy Dr","Arlington",TX,"76015",-97.1230,32.6788
"300 East 11th St","Austin",TX,"78701",-97.7385,30.2722
"10701 Lakeline Mall Dr","Austin",TX,"78717",-97.7922,30.4757
"150 Parker Dr","Austin",TX,"78728",-97.6742,30.4749
"4424 South Mopac Expwy","Austin",TX,"78735",-97.8174,30.2409
"1603 East Oltorf Blvd","Austin",TX,"78741",-97.7403,30.2335
"7625 East Ben White Blvd","Austin",TX,"78741",-97.6918,30.2176
"4200 I-35 South","Austin",TX,"78745",-97.7533,30.2147
"7622 I-35 North","Austin",TX,"78752",-97.7020,30.3391
"11901 North Mopac Expwy","Austin",TX,"78759",-97.7187,30.4069
"12875 Seagoville Rd","Balch Springs",TX,"75180",-96.6073,32.7048
"5300 7th St","Bay City",TX,"77414",-95.9285,28.9891
"5215 I-10 East","Baytown",TX,"77521",-94.9784,29.8056
"220 I-10 North","Beaumont",TX,"77702",-94.1352,30.0832
"5820 Walden Rd","Beaumont",TX,"77707",-94.1613,30.0388
"1809 Hwy 121","Bedford",TX,"76021",-97.1224,32.8395
"2062 HWY 59 E","Beeville",TX,"78102",-97.7245,28.4119
"229 West Loop 121","Belton",TX,"76513",-97.4769,31.0303
"1102 IH 20 West","Big Spring",TX,"79720",-101.4963,32.2635
"36756 I H-10 Johns Rd","Boerne",TX,"78006",-98.7496,29.7910
"2950 Wood Ridge Blvd","Brenham",TX,"77833",-96.3955,30.1373
"108 Texas Ave","Bridge City",TX,"77611",-93.8493,30.0171
"2000 10th St","Bridgeport",TX,"76426",-97.7569,33.2216
"721 FM 1489","Brookshire",TX,"77423",-95.9668,29.7774
"5051 North Expressway","Brownsville",TX,"78520",-97.5191,25.9798
"103 Market Place Blvd","Brownwood",TX,"76801",-98.9790,31.7301
"225 East Alsbury Blvd","Burleson",TX,"76028",-97.3162,32.5639
"1419 N.US Hwy 67","Cedar Hill",TX,"75104",-96.9182,32.6166
"1010 East Whitestone Blvd","Cedar Park",TX,"78613",-97.8178,30.5244
"107 East Kilpatrick Ave","Cleburne",TX,"76031",-97.3949,32.3702
"1004 Hwy 59 South","Cleveland",TX,"77327",-95.0989,30.3317
"1126 South Hwy 332 West","Clute",TX,"77531",-95.4122,29.0103
"607 Texas Ave","College Station",TX,"77840",-96.3333,30.6274
"1838 Graham Road","College Station",TX,"77845",-96.2835,30.5795
"2427 Hwy 71 South","Columbus",TX,"78934",-96.5387,29.6903
"4006 Sprayberry Ln","Conroe",TX,"77303",-95.4831,30.3675
"546 South Padre Island Dr","Corpus Christi",TX,"78405",-97.4601,27.7567
"5155 I-37 North","Corpus Christi",TX,"78408",-97.4518,27.8031
"10446 IH37 Access Rd","Corpus Christi",TX,"78410",-97.5716,27.8477
"6225 South Padre Island Dr","Corpus Christi",TX,"78412",-97.3589,27.7016
"14430 South Padre Island Drive","Corpus Christi",TX,"78418",-97.2212,27.6210
"2020 Regal Dr","Corsicana",TX,"75109",-96.4403,32.1002
"677 N Baylor Ave","Cotulla",TX,"78014",-99.2449,28.4446
"801 Liberal Street","Dalhart",TX,"79022",-102.5144,36.0694
"4440 North Central Expressway","Dallas",TX,"75206",-96.7865,32.8198
"2421 Walnut Hill Lane","Dallas",TX,"75229",-96.8967,32.8822
"10001 North Central Expressway","Dallas",TX,"75231",-96.7707,32.8833
"8300 John W Carpenter Fwy","Dallas",TX,"75247",-96.8769,32.8227
"7815A LBJ Fwy","Dallas",TX,"75251",-96.7720,32.9247
"1405 South Hwy 287","Decatur",TX,"76234",-97.5888,33.2208
"1400 East Blvd","Deer Park",TX,"77536",-95.0996,29.6990
"2005 Veterans Blvd","Del Rio",TX,"78840",-100.9054,29.3839
"801 US Highway 75 North","Denison",TX,"75020",-96.5870,33.7648
"4465 North I-35","Denton",TX,"76207",-97.1766,33.2364
"641 North I-35 East","DeSoto",TX,"75115",-96.8247,32.6011
"1912 South Dumas Ave","Dumas",TX,"79029",-101.9752,35.8422
"2525 E Main St","Eagle Pass",TX,"78852",-100.4750,28.7100
"10150 IH 20","Eastland",TX,"76448",-98.7917,32.4005
"6140 Gateway Blvd E","El Paso",TX,"79905",-106.4082,31.7810
"7550 Remcon Circle","El Paso",TX,"79912",-106.5676,31.8376
"7620 North Mesa","El Paso",TX,"79912",-106.5675,31.8390
"7944 Gateway East","El Paso",TX,"79915",-106.3469,31.7520
"9125 Gateway West","El Paso",TX,"79925",-106.3664,31.7662
"11033 Gateway Blvd West","El Paso",TX,"79935",-106.3333,31.7459
"110 South Sonoma Trail","Ennis",TX,"75119",-96.6142,32.3361
"431 Airport Fwy","Euless",TX,"76040",-97.0891,32.8362
"1010 West Commerce St","Fairfield",TX,"75840",-96.1774,31.7264
"1910 10th Street","Floresville",TX,"78114",-98.1453,29.1349
"1537 North Hwy 285","Fort Stockton",TX,"79735",-102.9084,30.8985
"7310 Calmont Avenue","Fort Worth",TX,"76116",-97.4430,32.7345
"8250 Anderson Blvd","Fort Worth",TX,"76120",-97.1741,32.7612
"4900 Bryant Irvin Rd","Fort Worth",TX,"76132",-97.4162,32.6778
"5800 Quebec St","Fort Worth",TX,"76135",-97.4247,32.8027
"4700 North Fwy","Fort Worth",TX,"76137",-97.3121,32.8278
"1465 East Main St","Fredericksburg",TX,"78624",-98.8492,30.2540
"3346 Forest Hill Circle","Ft Worth",TX,"76140",-97.2720,32.6600
"4201 North I-35","Gainesville",TX,"76240",-97.1528,33.6741
"1402 Seawall Blvd","Galveston",TX,"77550",-94.7798,29.2968
"8710 Seawall Blvd","Galveston",TX,"77554",-94.8510,29.2528
"375 E I-30","Garland",TX,"75043",-96.5732,32.8497
"333 North I-35","Georgetown",TX,"78628",-97.6783,30.6541
"101 West BO Gibbs Blvd","Glen Rose",TX,"76043",-97.7578,32.2383
"1631 Water Street","Gonzales",TX,"78629",-97.4624,29.5125
"880 Harbor Lakes Dr","Granbury",TX,"76048",-97.7660,32.4352
"2131 West I-20","Grand Prairie",TX,"75052",-97.0321,32.6753
"210 Heritage Pkwy","Gun Barrel City",TX,"75156",-96.1415,32.3335
"1002 South Expwy 83","Harlingen",TX,"78552",-97.7138,26.1821
"1513 Old Brandon Rd","Hillsboro",TX,"76645",-97.0983,32.0176
"5520 East Sam Houston Pkwy North","Houston",TX,"77015",-95.1626,29.8008
"930 Normandy St","Houston",TX,"77015",-95.2067,29.7731
"1625 West Loop South","Houston",TX,"77027",-95.4551,29.7509
"4015 Southwest Fwy","Houston",TX,"77027",-95.4428,29.7284
"15510 John F Kennedy Blvd","Houston",TX,"77032",-95.3311,29.9428
"4424 Westway Park Blvd","Houston",TX,"77041",-95.5593,29.8332
"8776 Airport Blvd","Houston",TX,"77061",-95.2621,29.6540
"9034 West Sam Houston Pkwy N","Houston",TX,"77064",-95.5508,29.9040
"13290 FM 1960 West","Houston",TX,"77065",-95.6182,29.9169
"8383 FM 1960 Rd W","Houston",TX,"77070",-95.5504,29.9572
"10850 Harwin Dr","Houston",TX,"77072",-95.5584,29.7173
"415 FM 1960","Houston",TX,"77073",-95.4233,30.0240
"6790 Southwest Fwy","Houston",TX,"77074",-95.5038,29.7141
"2451 Shadow View Lane","Houston",TX,"77077",-95.6008,29.7379
"11130 Northwest Fwy","Houston",TX,"77092",-95.4656,29.8183
"15225 Katy Fwy","Houston",TX,"77094",-95.6512,29.7843
"18201 Kenswick Dr","Humble",TX,"77338",-95.2960,29.9845
"6909 Atascocita Rd","Humble",TX,"77346",-95.1736,29.9961
"124 I-45 North","Huntsville",TX,"77340",-95.5701,30.7201
"1000 Dowdy Ferry Rd","Hutchins",TX,"75141",-96.7055,32.6493
"4225 North MacArthur Blvd","Irving",TX,"75038",-96.9598,32.8657
"4105 West Airport Fwy","Irving",TX,"75062",-97.0075,32.8377
"4850 West John Carpenter Frwy","Irving",TX,"75063",-97.0157,32.9178
"1902 South Jackson St","Jacksonville",TX,"75766",-95.2542,31.9415
"501 South Broadway","Joshua",TX,"76058",-97.3844,32.4561
"110 BMT Dr","Jourdanton",TX,"78026",-98.5325,28.9257
"1025 S State Hwy 123","Karnes City",TX,"78118",-97.8928,28.8709
"22455 Katy Fwy","Katy",TX,"77450",-95.7617,29.7849
"1940 Sidney Baker St","Kerrville",TX,"78028",-99.1162,30.0671
"1112 South Fort Hood St","Killeen",TX,"76541",-97.7469,31.1099
"22790 Highway 59 N","Kingwood",TX,"77339",-95.2526,30.0473
"18869 IH-35 North","Kyle",TX,"78640",-97.8476,30.0315
"1105 Hwy 146 South","La Porte",TX,"77571",-95.0293,29.6521
"3610 Santa Ursula Ave","Laredo",TX,"78041",-99.5032,27.5320
"7220 Bob Bullock Loop","Laredo",TX,"78041",-99.4446,27.5610
"204 West Centennial Blvd","Lindale",TX,"75771",-95.3949,32.4743
"402 Hwy 59 Loop South","Livingston",TX,"77351",-94.9527,30.7035
"3416 Martin Luther King Jr Blvd","Longview",TX,"75602",-94.7166,32.4501
"908 East Hawkins Pkwy","Longview",TX,"75605",-94.7321,32.5469
"601 Ave Q","Lubbock",TX,"79401",-101.8552,33.5900
"4115 Marsha Sharp Fwy","Lubbock",TX,"79407",-101.9021,33.5759
"5006 Auburn St","Lubbock",TX,"79416",-101.9189,33.6016
"2119 S 1st St","Lufkin",TX,"75901",-94.7256,31.3052
"104 N LHS Dr","Lumberton",TX,"77657",-94.2181,30.2592
"6930 FM 1488 Rd","Magnolia",TX,"77354",-95.5732,30.2211
"1503 Breckenridge Rd","Mansfield",TX,"76063",-97.1410,32.5932
"501 Hwy 2147 West","Marble Falls",TX,"78654",-98.2772,30.5611
"6015 East End Blvd South","Marshall",TX,"75672",-94.3604,32.4864
"12909 I H 37","Mathis",TX,"78368",-97.8179,28.1108
"1100 South 10th St","McAllen",TX,"78501",-98.2320,26.1934
"6501 Henneman Way","McKinney",TX,"75070",-96.6997,33.1390
"7007 East Expressway 83","Mercedes",TX,"78570",-97.8804,26.1599
"118 East US Hwy 80","Mesquite",TX,"75149",-96.5947,32.7888
"4130 West Wall St","Midland",TX,"79703",-102.1222,31.9718
"2606 North Loop 250 West","Midland",TX,"79707",-102.1553,32.0068
"805 Travis St","Mission",TX,"78572",-98.3064,26.1968
"5719 Hwy 6","Missouri City",TX,"77459",-95.5684,29.5706
"1314 West I-20","Monahans",TX,"79756",-102.9071,31.5718
"1620 Rotan Ave","Mt Pleasant",TX,"75455",-95.0029,33.1720
"365 Hwy 46 South","New Braunfels",TX,"78130",-98.0922,29.6995
"22025 US 59","New Caney",TX,"77357",-95.2293,30.1268
"5001 East Bus I-20","Odessa",TX,"79761",-102.3129,31.8732
"4122 Faudree Road","Odessa",TX,"79765",-102.2886,31.9185
"2220 Hwy 62 South","Orange",TX,"77630",-93.8202,30.1128
"3000 South Loop 256","Palestine",TX,"75801",-95.6293,31.7342
"3205 Northeast Loop 286","Paris",TX,"75460",-95.5178,33.6735
"3490 East Sam Houston Pkwy South","Pasadena",TX,"77505",-95.1581,29.6586
"2205 Pasadena Freeway","Pasadena",TX,"77506",-95.1833,29.7136
"9002 Broadway St","Pearland",TX,"77584",-95.3594,29.5585
"170 Medical Dr","Pearsall",TX,"78061",-99.1190,28.8981
"101 South Frontage Road, I-20 West","Pecos",TX,"79772",-103.5011,31.3955
"4603 N Cage Blvd","Pharr",TX,"78577",-98.1792,26.2345
"4607 N Cage Blvd","Pharr",TX,"78577",-98.1784,26.2346
"4800 West Plano Pkwy","Plano",TX,"75093",-96.7923,33.0157
"7540 Memorial Blvd","Port Arthur",TX,"77642",-93.9808,29.9372
"910 Hwy 35 North","Port Lavaca",TX,"77979",-96.6300,28.6321
"201 Buddy Ganem Drive","Portland",TX,"78374",-97.3105,27.8984
"128 North Expressway 77","Raymondville",TX,"78580",-97.7700,26.4839
"653 N.E Loop 820","Richland Hills",TX,"76118",-97.2079,32.8212
"2921 Highway 35 N","Rockport",TX,"78382",-97.0418,28.0581
"689 East Interstate 30","Rockwall",TX,"75087",-96.4691,32.8970
"28332 Southwest Fwy 59","Rosenberg",TX,"77471",-95.8118,29.5329
"2004 North I-35","Round Rock",TX,"78681",-97.6919,30.5298
"2307 Loop 306","San Angelo",TX,"76904",-100.4758,31.4160
"5922 I-10 West","San Antonio",TX,"78201",-98.5337,29.4839
"100 W Cesar Chavez Blvd","San Antonio",TX,"78204",-98.4974,29.4202
"303 Blum St","San Antonio",TX,"78205",-98.4825,29.4238
"900 Dolorosa St","San Antonio",TX,"78207",-98.4995,29.4243
"850 Halm Blvd","San Antonio",TX,"78216",-98.4810,29.5189
"6410 I-35 North","San Antonio",TX,"78218",-98.4018,29.4886
"6075 I-10 East","San Antonio",TX,"78219",-98.3667,29.4437
"3180 Goliad Rd","San Antonio",TX,"78223",-98.4294,29.3511
"7202 South Pan Am Expwy","San Antonio",TX,"78224",-98.5256,29.3557
"6511 West Military Drive","San Antonio",TX,"78227",-98.6276,29.4005
"4431 Horizon Hill Blvd","San Antonio",TX,"78229",-98.5557,29.5165
"1017 N Loop 1604 E","San Antonio",TX,"78232",-98.4780,29.6120
"12822 I-35 North","San Antonio",TX,"78233",-98.3461,29.5559
"7134 Northwest Loop 410","San Antonio",TX,"78238",-98.6281,29.4547
"5622 Utex Blvd","San Antonio",TX,"78249",-98.5970,29.5792
"11155 West Loop 1604 North","San Antonio",TX,"78254",-98.6751,29.5460
"25042 IH-10 West","San Antonio",TX,"78257",-98.6338,29.6744
"1619 I-35 North","San Marcos",TX,"78666",-97.9099,29.8967
"17650 Four Oaks Ln","Schertz",TX,"78154",-98.2779,29.6052
"3636 NASA Rd 1","Seabrook",TX,"77586",-95.0457,29.5645
"1501 Hwy 46 North","Seguin",TX,"78155",-97.9926,29.5813
"2912 Hwy 75 North","Sherman",TX,"75090",-96.6118,33.6683
"7000 Padre Blvd","South Padre Island",TX,"78597",-97.1700,26.1379
"12727 Southwest Fwy","Stafford",TX,"77477",-95.5844,29.6347
"105 Christy Plaza","Stephenville",TX,"76401",-98.2419,32.2017
"1344 Eaton Dr","Sulphur Springs",TX,"75482",-95.5907,33.1186
